,ID,Date,Company,Title,Link
133,8TfA2qUSRbiOjEMGEQWCNw==,9/1/2021,Parcel Perform,master data analyst,https://vn.linkedin.com/jobs/view/master-data-analyst-at-parcel-perform-2698750912?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=8TfA2qUSRbiOjEMGEQWCNw%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card
134,KwJuvSSkCw+rgS4c/E/SWA==,9/10/2021,TIKI Corporation,software engineer/ml/data scientist (search platform),https://vn.linkedin.com/jobs/view/software-engineer-ml-data-scientist-search-platform-at-tiki-corporation-2745995416?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=KwJuvSSkCw%2BrgS4c%2FE%2FSWA%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card
135,eyB12hxmLPBWryJ3mbACFg==,10/27/2021,Discova,data modeler,https://vn.linkedin.com/jobs/view/data-modeler-at-discova-2768802503?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=eyB12hxmLPBWryJ3mbACFg%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card
136,F7CeVSNWCLzoz+vPZ7/tkw==,10/28/2021,Gojek,researcher,https://vn.linkedin.com/jobs/view/researcher-at-gojek-2714545815?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=F7CeVSNWCLzoz%2BvPZ7%2Ftkw%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card
137,n7s5oTu8aVGj6mbGbqsSdw==,10/28/2021,Deloitte,consulting internship program - vn,https://vn.linkedin.com/jobs/view/consulting-internship-program-vn-at-deloitte-2770484618?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=n7s5oTu8aVGj6mbGbqsSdw%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card
138,eUOkUegSSRAPhyHNAhdoOA==,10/24/2021,Deloitte,consultant / senior consultant - artificial intelligence & data - vn,https://vn.linkedin.com/jobs/view/consultant-senior-consultant-artificial-intelligence-data-vn-at-deloitte-2710369737?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=eUOkUegSSRAPhyHNAhdoOA%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card
139,,9/21/2021,Shopee,chuyên viên phân tích kinh doanh,https://vn.linkedin.com/jobs/view/chuy%C3%AAn-vi%C3%AAn-ph%C3%A2n-t%C3%ADch-kinh-doanh-at-shopee-2762689293?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=eOxFaAj4z6cPqGgRU4NLBw%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card
140,i1KhY3Rvm15p1ARobWn/Iw==,10/13/2021,Shopee,operations - project management,https://vn.linkedin.com/jobs/view/operations-project-management-at-shopee-2698740224?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=i1KhY3Rvm15p1ARobWn%2FIw%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card
141,vaxNJhbvd7yi2VqnBAyKaw==,10/22/2021,Deloitte,consulting analyst - vn,https://vn.linkedin.com/jobs/view/consulting-analyst-vn-at-deloitte-2708687683?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=vaxNJhbvd7yi2VqnBAyKaw%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card
142,5b+U4sMduUbA5lGXjNVb7A==,10/11/2021,AhaMove,[hn] strategic data analyst,https://vn.linkedin.com/jobs/view/hn-strategic-data-analyst-at-ahamove-2752065611?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=5b%2BU4sMduUbA5lGXjNVb7A%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card
143,In+nzAhM5/IgJjxjE5pqtQ==,10/21/2021,JAC Group,data scientist (analysis),https://vn.linkedin.com/jobs/view/data-scientist-analysis-at-jac-group-2768093444?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=In%2BnzAhM5%2FIgJjxjE5pqtQ%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card
144,ZAZaxyOCS3gnBcP/aI9LWQ==,10/6/2021,Shopee,digital performance - pmo,https://vn.linkedin.com/jobs/view/digital-performance-pmo-at-shopee-2780596143?refId=cDiPiTm6lRP5N5fbA8ayLA%3D%3D&trackingId=ZAZaxyOCS3gnBcP%2FaI9LWQ%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card
