,Title,Company,Location,Link,Review
89,Sr. Revenue Operations Analyst,opentext,Remote,https://ca.indeed.com/rc/clk?jk=ceddc51eb8dc4c07&fccid=c908408e676247d6&vjs=3,3.5
90,TFMS Planning & Reporting Analyst - Remote,BGIS,"Vancouver, BC+1 location•Remote",https://ca.indeed.com/rc/clk?jk=6d3efd6fa6a7b8d1&fccid=84c23fbcabc14d59&vjs=3,3.1
91,"new
Software Product Support Analyst",Insurity,Remote,https://ca.indeed.com/rc/clk?jk=9d8b325612401321&fccid=808107f935280e38&vjs=3,None
92,ServiceNow Technical Analyst / Business Analyst,Thirdera,Remote,https://ca.indeed.com/rc/clk?jk=c92dbd9bab600f02&fccid=16233779133d4e83&vjs=3,None
93,Senior Data Analyst,Geotab,"Oakville, ON•Remote",https://ca.indeed.com/rc/clk?jk=4558eaca8bfcb321&fccid=31921a4bf53a6026&vjs=3,3.1
94,Digital Analyst,Napkyn Analytics,Remote,https://ca.indeed.com/rc/clk?jk=e06c291926528869&fccid=8f86fe8f27644e37&vjs=3,None
95,Remote Sensing Analyst,Hatfield Consultants,"Calgary, AB+1 location•Remote",https://ca.indeed.com/company/Hatfield-Consultants/jobs/Remote-Sensing-Analyst-60c1e72ae38b687f?fccid=9f1a0c1d141cefa9&vjs=3,None
96,Release Analyst,Geotab,"Burnaby, BC•Remote",https://ca.indeed.com/rc/clk?jk=6329312dcf9e3343&fccid=31921a4bf53a6026&vjs=3,3.1
97,Associate Project Control Analyst - Remote (Full-time or Par...,EMMES,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=abd80bbfec1480b7&fccid=26108e784f9361a6&vjs=3,None
98,Senior HR Systems and Data Analyst,D2L,"Kitchener, ON•Remote",https://ca.indeed.com/rc/clk?jk=81a2e2e0d82aa09a&fccid=d797af08f7544bdf&vjs=3,3.2
99,"new
Business Analyst - Immunization Clinic",Shared Health,"Winnipeg, MB•Remote",https://ca.indeed.com/rc/clk?jk=05645e3a000fc344&fccid=3fc7f56ff888e016&vjs=3,2.6
100,"new
Risk Mitigation Analyst",Trupanion,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=b8f74bcd49a4dc26&fccid=8f17f1029801f51e&vjs=3,None
101,"new
Contract Analyst",Equifax,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=07dadb5be41b8d11&fccid=34c446722f3cf576&vjs=3,3.5
102,Game Analyst,Hothead Games,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=acc29a8d3c6a1d55&fccid=3babf6ec6b04c340&vjs=3,2.9
103,Technical Business Analyst,"OPTASY, Inc.",Remote,https://ca.indeed.com/rc/clk?jk=cadb29d0b63e0675&fccid=71343edfc52c5abf&vjs=3,None
104,Business Development Analyst (Remote),Dillon Consulting Limited,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=ca0e8b117ee54e63&fccid=6a34323eae72ab52&vjs=3,3.7
105,Senior Digital Business Analyst,EDC,"Ottawa, ON•Remote",https://ca.indeed.com/rc/clk?jk=af5196888bb59834&fccid=a8b2e935aa392e07&vjs=3,3.8
106,"new
Analytics & Insights Analyst",AIR MILES,"Montréal, QC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=37b2b60ec30d3d9f&fccid=cfd800e466ff9171&vjs=3,3.4
107,Product market analyst PMA,Bouclair,"Pointe-Claire, QC•Remote",https://ca.indeed.com/rc/clk?jk=c4c0eae202f9b830&fccid=4266e0ef1c2881b7&vjs=3,3.1
108,Supply Chain - Transportation Analyst,3M,"London, ON•Remote",https://ca.indeed.com/rc/clk?jk=b0135a5fe86355f0&fccid=595d42593839d3a2&vjs=3,4.0
109,Compliance Analyst,CWB Financial Group,"Edmonton, AB•Remote",https://ca.indeed.com/rc/clk?jk=ec2288d1cfaca47a&fccid=0c2ff2bd41dc562a&vjs=3,3.7
110,Business Analyst II #Remote,PointClickCare,"Mississauga, ON•Remote",https://ca.indeed.com/rc/clk?jk=22ae878605542f8c&fccid=f3e403e0f1d59b84&vjs=3,3.7
111,Technical Business Analyst,Visual Knowledge Share Ltd,"Châteauguay, QC•Remote",https://ca.indeed.com/rc/clk?jk=838e4284d8610b20&fccid=ebc1fe4217d810fd&vjs=3,5.0
112,Senior Marketing Data Analyst (NBA Top Shot),Dapper Labs,Remote,https://ca.indeed.com/rc/clk?jk=dbc924e728a1ebdf&fccid=d6486a0a13a20d3e&vjs=3,None
113,Supply Chain Analyst,Cascades,"Candiac, QC•Remote",https://ca.indeed.com/rc/clk?jk=fd379b3bd5cad960&fccid=126b76785da86c7a&vjs=3,3.1
114,Tax Analyst,CRH Canada,"Concord, ON•Remote",https://ca.indeed.com/rc/clk?jk=6ac7622196a4e0e8&fccid=04119675ddeb34a7&vjs=3,3.3
115,Reporting Analyst- Capital Markets,BMO Financial Group,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=f98e447382848639&fccid=3a429036b3725efa&vjs=3,3.8
116,Business Systems Analyst,Canadian Red Cross,Remote,https://ca.indeed.com/rc/clk?jk=992896ed62968b36&fccid=21d7457fa0b5bec7&vjs=3,4.0
117,"Business Intelligence Analyst, IMITS",PHSA,"Burnaby, BC•Remote",https://ca.indeed.com/rc/clk?jk=5fa9709bae82577f&fccid=f66f721a44de3765&vjs=3,3.2
118,"Analyst, Inventory Management & Logistics",Bouclair,"Pointe-Claire, QC•Remote",https://ca.indeed.com/rc/clk?jk=7650ff818f4d8a06&fccid=4266e0ef1c2881b7&vjs=3,3.1
119,Scientific Analyst - Bioinformatics (Remote),BenchSci,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=d4b6b2eae778bda4&fccid=cb94cfaf4856cc5b&vjs=3,None
120,"Analyst, Mortgage Business, Global Funding & Treasury",National Bank of Canada,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=7b467328b1b50897&fccid=bb42ba28e525eb20&vjs=3,3.9
121,"Analyst, Solutions Consulting",StackAdapt,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=7371ab14631134db&fccid=8125fd19a28b99fe&vjs=3,4.5
122,"new
Systems Analyst, Digital Run & Optimize",EDC,"Toronto, ON+1 location•Remote",https://ca.indeed.com/rc/clk?jk=3fe2931512b49181&fccid=a8b2e935aa392e07&vjs=3,3.8
123,Business Analyst,Purely CRM,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=a6cca4ddfc389603&fccid=b5bf7b93bbf5af73&vjs=3,None
124,Senior Bioinformatics Analyst - Remote (Full-time or Part-ti...,EMMES,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=a8624d35add619b1&fccid=26108e784f9361a6&vjs=3,None
125,Data Visualization Specialist & Tableau Administrator - BC C...,PHSA,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=2737284c87c2f3ff&fccid=f66f721a44de3765&vjs=3,3.2
126,"new
Oracle EPM Cloud IT Analyst",Luxoft,Remote,https://ca.indeed.com/rc/clk?jk=9365578064045eb0&fccid=4b841d912d46e4fd&vjs=3,None
127,"Statistical Analyst, Clinical Programs - BC Transplant",PHSA,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=41d466f35a833709&fccid=f66f721a44de3765&vjs=3,3.2
128,"new
Information Security Compliance Analyst",Equifax,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=53832b762ff3187c&fccid=34c446722f3cf576&vjs=3,3.5
129,Business Intelligence Analyst,Plooto,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=3ae8bde106a42969&fccid=1c1238c880367e47&vjs=3,None
130,Pricing Analyst,Equifax,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=ee8abd74a2522f31&fccid=34c446722f3cf576&vjs=3,3.5
131,BI Developer,Trapeze Group Limited,"Mississauga, ON•Remote",https://ca.indeed.com/rc/clk?jk=3e0294b52d5d5623&fccid=be170a65fa0dc90f&vjs=3,None
132,Human Resources Analyst,Intact,"Anjou, QC+1 location•Remote",https://ca.indeed.com/rc/clk?jk=20ab1ba17d7cbc9d&fccid=a614b30520ebe6c9&vjs=3,3.8
133,"new
Senior Business Analyst",PokerStars,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=3ae2a3592b5ee88d&fccid=61de9b75dff2ea14&vjs=3,None
134,"new
Senior Business System Analyst",Public Services and Procurement Canada,"Gatineau, QC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=a2b637a1f2cf87a6&fccid=42175b0f17a4665f&vjs=3,4.0
135,Business Analyst,Bird Construction,"Winnipeg, MB•Remote",https://ca.indeed.com/rc/clk?jk=b885236bccb314ce&fccid=73271f491499b425&vjs=3,4.0
136,Senior Employer Data Analyst (Pensions),Ontario Pension Board,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=47e6ab6ec242460d&fccid=73845b8ec8ecf4cd&vjs=3,4.8
