,Title,Company,Location,Link,Review
119,"Director, Analytics - SKATE",Electronic Arts,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=6026d1258f5140d0&fccid=617d7f961cfcf54a&vjs=3,3.8
120,"Consultant, Credit Risk Analytics",CIBC,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=e7db3d1438251a2e&fccid=f99648405c7e9e3a&vjs=3,3.8
121,"Student Intern, Analytics Solutions (IT)",Celestica,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=f6a5ceecc5d96888&fccid=e7e593a18b26fee3&vjs=3,3.9
122,Business Analytics Specialist,JLL,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=d4bc48c2f626d9d6&fccid=9917de3c28f569f6&vjs=3,3.7
123,Data Analytics Developer,Traction on Demand,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=4a684d5db3e3943c&fccid=4db26032d277e0f4&vjs=3,3.2
124,"new
WGL - Supervisor Data Analytics Energy Efficiency",AltaGas,"Springfield, ON",https://ca.indeed.com/rc/clk?jk=1ef7c1743d553744&fccid=4dac2d2245794069&vjs=3,3.5
125,"Data Engineer, Advanced Analytics",Coca-Cola Canada Bottling Limited,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=87009def6568ae75&fccid=d836e94cec8a7fbd&vjs=3,3.5
126,Data Analyst,WorkTango,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=4e1c91cd37ad5f00&fccid=0f25788b92067625&vjs=3,None
127,Business Intelligence Analyst,EDC,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=6c651ddbbcddea31&fccid=a8b2e935aa392e07&vjs=3,3.8
128,Foreign Language Intelligence Analyst,Communications Security Establishment,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=9bee79c25a29153b&fccid=0f326773733da017&vjs=3,3.9
129,Reporting Analyst (Power BI),Envision,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=fe5ace5d42432432&fccid=381fbbb453598edf&vjs=3,None
130,"new
Product Marketing Manager, Small and Medium Businesses Marke...",Google,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=850df5f0f398fe7d&fccid=a5b4499d9e91a5c6&vjs=3,4.3
131,"new
Portfolio Manager, Data and Analytics",Intact,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=8972f8bf4abda8de&fccid=a614b30520ebe6c9&vjs=3,3.8
132,"Statistical Analyst, Risk Analytics",Aviva,"Markham, ON",https://ca.indeed.com/rc/clk?jk=2276610cbd7dee1c&fccid=354f4c12e3c6bd5a&vjs=3,3.8
133,"new
Human Resources Assistant",Landscape Management Network (LMN),"Markham, ON",https://ca.indeed.com/rc/clk?jk=4f5cec41dedfb646&fccid=a5113b753e0df3bd&vjs=3,None
134,"new
IT Solutions Specialist",GrantMe,"Vancouver, BC•Remote",https://ca.indeed.com/company/GrantMe/jobs/IT-Solution-Specialist-2d8d588bab884eb1?fccid=476e3612a1fe48dc&vjs=3,None
