,Title,Link
57,Kiến Trúc Sư Cảnh Quan(NEW),https://www.vietnamworks.com/kien-truc-su-canh-quan-37-1-1436420-jd/?source=searchResults&searchType=2&placement=1436421&sortBy=date
58,Assistant Director of Sales(NEW),https://www.vietnamworks.com/assistant-director-of-sales-16-1436419-jd/?source=searchResults&searchType=2&placement=1436420&sortBy=date
59,Fresher Data Engineer(NEW),https://www.vietnamworks.com/fresher-data-engineer-1436415-jd/?source=searchResults&searchType=2&placement=1436416&sortBy=date
60,Fresher C#/.net(NEW),https://www.vietnamworks.com/fresher-c-sharp-net-1-1436411-jd/?source=searchResults&searchType=2&placement=1436412&sortBy=date
61,Fresher Tester(NEW),https://www.vietnamworks.com/fresher-tester-1-1436405-jd/?source=searchResults&searchType=2&placement=1436406&sortBy=date
62,Fresher Java(NEW),https://www.vietnamworks.com/fresher-java-1-1436391-jd/?source=searchResults&searchType=2&placement=1436392&sortBy=date
63,Production Superintendent(NEW),https://www.vietnamworks.com/production-superintendent-3-1-1-1436365-jd/?source=searchResults&searchType=2&placement=1436366&sortBy=date
64,Marketing Director(NEW),https://www.vietnamworks.com/marketing-director-134-1-1436364-jd/?source=searchResults&searchType=2&placement=1436365&sortBy=date
65,Technical Writer Manager(NEW),https://www.vietnamworks.com/technical-writer-manager-1-1436361-jd/?source=searchResults&searchType=2&placement=1436362&sortBy=date
66,Material Controller(NEW),https://www.vietnamworks.com/material-controller-5-1-1436350-jd/?source=searchResults&searchType=2&placement=1436351&sortBy=date
67,Sales Engineer(NEW),https://www.vietnamworks.com/sales-engineer-737-1436349-jd/?source=searchResults&searchType=2&placement=1436350&sortBy=date
68,Nhân Viên Kinh Doanh Thị Trường(NEW),https://www.vietnamworks.com/nhan-vien-kinh-doanh-thi-truong-103-1-1436326-jd/?source=searchResults&searchType=2&placement=1436327&sortBy=date
69,Kỹ Sư Giám Sát(NEW),https://www.vietnamworks.com/ky-su-giam-sat-33-1-1436321-jd/?source=searchResults&searchType=2&placement=1436522&sortBy=date
70,Kỹ Sư Điện(NEW),https://www.vietnamworks.com/ky-su-dien-618-1-1436320-jd/?source=searchResults&searchType=2&placement=1436521&sortBy=date
71,Technical Services Manager and Formulation Manager- Asia(NEW),https://www.vietnamworks.com/technical-services-manager-and-formulation-manager-asia-1436311-jd/?source=searchResults&searchType=2&placement=1436512&sortBy=date
72,Kỹ Sư Quản Lý Chất Lượng Nhà Cung Cấp - SQE (Tiếng Trung/tiếng Anh)(NEW),https://www.vietnamworks.com/ky-su-quan-ly-chat-luong-nha-cung-cap-sqe-tieng-trung-tieng-anh-1-1436297-jd/?source=searchResults&searchType=2&placement=1436498&sortBy=date
73,Trưởng Bộ Phận Quản Lý Chất Lượng(NEW),https://www.vietnamworks.com/truong-bo-phan-quan-ly-chat-luong-12-1-1436296-jd/?source=searchResults&searchType=2&placement=1436497&sortBy=date
74,Kiến Trúc Sư ( Kỹ Sư Thiết Kế )(NEW),https://www.vietnamworks.com/kien-truc-su-ky-su-thiet-ke-74-1436261-jd/?source=searchResults&searchType=2&placement=1436462&sortBy=date
75,"Kỹ Sư Bảo Trì, Điện - Tự Động Hóa(NEW)",https://www.vietnamworks.com/ky-su-bao-tri-dien-tu-dong-hoa-1436253-jd/?source=searchResults&searchType=2&placement=1436454&sortBy=date
76,[Khu Vực Hà Nội] Chuyên Viên Tư Vấn Tài Chính Cấp Cao – Kênh Hợp Tác Ngân Hàng Nước Ngoài(NEW),https://www.vietnamworks.com/khu-vuc-ha-noi-chuyen-vien-tu-van-tai-chinh-cap-cao-kenh-hop-tac-ngan-hang-nuoc-ngoai-1436250-jd/?source=searchResults&searchType=2&placement=1436451&sortBy=date
77,[Khu Vực HCM] Chuyên Viên Tư Vấn Tài Chính Cấp Cao – Kênh Hợp Tác Ngân Hàng Nước Ngoài(NEW),https://www.vietnamworks.com/khu-vuc-hcm-chuyen-vien-tu-van-tai-chinh-cap-cao-kenh-hop-tac-ngan-hang-nuoc-ngoai-1436226-jd/?source=searchResults&searchType=2&placement=1436427&sortBy=date
78,Chuyên Gia Nghiên Cứu và Phát Triển Sản Phẩm Tín Dụng - K.KHDN(NEW),https://www.vietnamworks.com/chuyen-gia-nghien-cuu-va-phat-trien-san-pham-tin-dung-k-khdn-1436220-jd/?source=searchResults&searchType=2&placement=1436421&sortBy=date
79,Chuyên Viên Kinh Doanh Ngoại Hối 2 - Phòng Kinh Doanh Ngoại Hối và Sản Phẩm Phái Sinh(NEW),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-ngoai-hoi-2-phong-kinh-doanh-ngoai-hoi-va-san-pham-phai-sinh-1436216-jd/?source=searchResults&searchType=2&placement=1436417&sortBy=date
80,Chuyên Viên Kiểm Thử - K.CNTT(NEW),https://www.vietnamworks.com/chuyen-vien-kiem-thu-k-cntt-1436211-jd/?source=searchResults&searchType=2&placement=1436412&sortBy=date
81,"Lập Trình Viên Java, J2Ee/web Service/jms, Oracle Database ( Non-Mobile Application)(NEW)",https://www.vietnamworks.com/lap-trinh-vien-java-j2ee-web-service-jms-oracle-database-non-mobile-application-1436206-jd/?source=searchResults&searchType=2&placement=1436407&sortBy=date
82,Chuyên Viên SOC và Hỗ Trợ Dự Án Security(NEW),https://www.vietnamworks.com/chuyen-vien-soc-va-ho-tro-du-an-security-1-1436196-jd/?source=searchResults&searchType=2&placement=1436397&sortBy=date
83,Sales Executive - Nhân Viên Kinh Doanh(NEW),https://www.vietnamworks.com/sales-executive-nhan-vien-kinh-doanh-135-1436192-jd/?source=searchResults&searchType=2&placement=1436393&sortBy=date
84,Chuyên Viên Đào Tạo (Tiếng Anh Giao Tiếp Thành thạo)(NEW),https://www.vietnamworks.com/chuyen-vien-dao-tao-tieng-anh-giao-tiep-thanh-thao-1436181-jd/?source=searchResults&searchType=2&placement=1436382&sortBy=date
85,Cloud Data Engineer - Salary up to 4000$ & Joining Bonus up to 30M VND(NEW),https://www.vietnamworks.com/cloud-data-engineer-salary-up-to-4000-joining-bonus-up-to-30m-vnd-1-1-1435163-jd/?source=searchResults&searchType=2&placement=1435364&sortBy=date
86,Kỹ Sư Công Nghệ Thông Tin - 10 Người(NEW),https://www.vietnamworks.com/ky-su-cong-nghe-thong-tin-10-nguoi-1-1435142-jd/?source=searchResults&searchType=2&placement=1435343&sortBy=date
87,Tuyển Dev Reactjs/ React Native(NEW),https://www.vietnamworks.com/tuyen-dev-reactjs-react-native-2-1435139-jd/?source=searchResults&searchType=2&placement=1435340&sortBy=date
88,Senior IT Recruiter(NEW),https://www.vietnamworks.com/senior-it-recruiter-50-1435079-jd/?source=searchResults&searchType=2&placement=1435280&sortBy=date
89,Scrum Master(NEW),https://www.vietnamworks.com/scrum-master-56-1-1435000-jd/?source=searchResults&searchType=2&placement=1435201&sortBy=date
90,IT Business Analyst - Crm/ecommerce System - Attractive Salary & Benefits(NEW),https://www.vietnamworks.com/it-business-analyst-crm-ecommerce-system-attractive-salary-benefits-1434908-jd/?source=searchResults&searchType=2&placement=1435109&sortBy=date
91,Data Analyst (Mức Lương 15-23 Triệu)(NEW),https://www.vietnamworks.com/data-analyst-muc-luong-15-23-trieu-1-1-1434896-jd/?source=searchResults&searchType=2&placement=1435097&sortBy=date
92,"Trưởng Phòng Phát Triển Phần Mềm (Pm, 30-45M)(NEW)",https://www.vietnamworks.com/truong-phong-phat-trien-phan-mem-pm-30-45m-1434889-jd/?source=searchResults&searchType=2&placement=1435090&sortBy=date
93,02 Nhân Viên IT(NEW),https://www.vietnamworks.com/02-nhan-vien-it-5-1-1434886-jd/?source=searchResults&searchType=2&placement=1435087&sortBy=date
94,Technical Architect (Java/nodejs)(NEW),https://www.vietnamworks.com/technical-architect-java-nodejs-1434793-jd/?source=searchResults&searchType=2&placement=1434994&sortBy=date
95,Broadcast Technician (Game Studio)(NEW),https://www.vietnamworks.com/broadcast-technician-game-studio-1434781-jd/?source=searchResults&searchType=2&placement=1434982&sortBy=date
